Serial ID,Full Name,Service Year,Nyikem Year,Resignation Year,Missing Fields
NGT-001,Dasho Sangay Thinley,,1995,,"Service Year, Resignation Year"
NGT-002,Dasho Kunzang Wangdi,,2001,,"Service Year, Resignation Year"
NGT-003,Dasho Pem L. Dorji,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-004,Dasho Dr. Gado Tshering,,2006,,"Service Year, Resignation Year"
NGT-005,Dasho Rinzin Gyaltshen,,1986,,"Service Year, Resignation Year"
NGT-006,Lyonpo Leki Dorji,,1981,,"Service Year, Resignation Year"
NGT-007,Lyonpo Om Pradhan,,1977,,"Service Year, Resignation Year"
NGT-008,Dasho Sonam Tshering,,2006,,"Service Year, Resignation Year"
NGT-009,Dasho Sangay Khandu,,2009,,"Service Year, Resignation Year"
NGT-010,Dasho Dawa Tshering,,1999,,"Service Year, Resignation Year"
NGT-011,Dasho Penjor Dorji,,1991,,"Service Year, Resignation Year"
NGT-012,Dasho Yeshi Wangdi,,2012,,"Service Year, Resignation Year"
NGT-013,Dasho Ugen Chewang,,2011,,"Service Year, Resignation Year"
NGT-014,Dasho Sherub Gyaltshen,,1997,,"Service Year, Resignation Year"
NGT-015,Dasho Phuntso Norbu,,2012,,"Service Year, Resignation Year"
NGT-016,Dasho Sherub Tenzin,,1999,,"Service Year, Resignation Year"
NGT-017,Dasho Chagyel,,1983,,"Service Year, Resignation Year"
NGT-018,Dasho Dorjee Namgyel,,1987,,"Service Year, Resignation Year"
NGT-019,Dasho Pem Tshering,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-020,Dasho Zangley Dukpa,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-021,Dasho Pema Thinley,,2006,,"Service Year, Resignation Year"
NGT-022,Dasho Dhondup Phuntsho,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-023,Dasho Sangay Tenzin,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-024,Dasho Yanki T. Wangchuk,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-025,Dasho Pasang Tobgay,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-026,Dasho Phub Dorji,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-027,Dasho Dorji Norbu,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-028,Dasho Karma Dorjee (MTI),,,,"Service Year, Nyikem Year, Resignation Year"
NGT-029,Dasho Karma Dorji (DNP),,,,"Service Year, Nyikem Year, Resignation Year"
NGT-030,Dasho Namgay,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-031,Dasho Phub Tshering,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-032,Dasho Dr. P.W. Samdrup,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-033,Dasho Dago Tshering,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-034,Dasho Gasey Lhundup,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-035,Dasho Dophu Tshering,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-036,Dasho Penden Wangchuk,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-037,Dasho Lhakpa Dorji,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-038,Dasho Lhadarla,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-039,Dasho Dorji Wangdi,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-040,Dasho D.N. Katwal,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-041,"Dasho Phub Dorji
(Wachep)",,,,"Service Year, Nyikem Year, Resignation Year"
NGT-042,Dasho H.K Humagai,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-043,Dasho Wangdi,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-044,Dasho Oko Tshering,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-045,"Dasho Sangay Dorji
(HC)",,,,"Service Year, Nyikem Year, Resignation Year"
NGT-046,Dasho Tashi Phuntsog,,1995,2012,Service Year
NGT-047,Dasho Khandu,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-048,Dasho Sherab Thaye,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-049,Dasho Jambay,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-050,Dasho R.N. Dhital,,,,"Service Year, Nyikem Year, Resignation Year"
NGT-051,Dasho Jigme Tshultim,,,,"Service Year, Nyikem Year, Resignation Year"
